a433-microservices-item-db-1  | 2023-02-09T14:52:18.228+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=e6bfd5316897
a433-microservices-item-db-1  | 2023-02-09T14:52:18.228+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1  | 2023-02-09T14:52:18.228+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-db-1  | 2023-02-09T14:52:18.228+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1  | 2023-02-09T14:52:18.228+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1  | 2023-02-09T14:52:18.228+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1  | 2023-02-09T14:52:18.228+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1  | 2023-02-09T14:52:18.228+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1  | 2023-02-09T14:52:18.228+0000 I CONTROL  [initandlisten]     distarch: aarch64
a433-microservices-item-db-1  | 2023-02-09T14:52:18.228+0000 I CONTROL  [initandlisten]     target_arch: aarch64
a433-microservices-item-db-1  | 2023-02-09T14:52:18.228+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1  | 2023-02-09T14:52:18.228+0000 I STORAGE  [initandlisten] 
a433-microservices-item-db-1  | 2023-02-09T14:52:18.228+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
a433-microservices-item-db-1  | 2023-02-09T14:52:18.228+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
a433-microservices-item-db-1  | 2023-02-09T14:52:18.228+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=256M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1  | 2023-02-09T14:52:18.313+0000 I STORAGE  [initandlisten] WiredTiger message [1675954338:313122][1:0xffff8c937000], txn-recover: Set global recovery timestamp: 0
a433-microservices-item-db-1  | 2023-02-09T14:52:18.338+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-02-09T14:52:18.338+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
a433-microservices-item-db-1  | 2023-02-09T14:52:18.338+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
a433-microservices-item-db-1  | 2023-02-09T14:52:18.338+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-02-09T14:52:18.339+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: 55e80479-7bce-424a-8242-d4caa40f6994
a433-microservices-item-db-1  | 2023-02-09T14:52:18.345+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
a433-microservices-item-db-1  | 2023-02-09T14:52:18.347+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: ed44821c-3e9f-41a1-9fd9-d418d0831e29
a433-microservices-item-db-1  | 2023-02-09T14:52:18.354+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
a433-microservices-item-db-1  | 2023-02-09T14:52:18.357+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
